Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 92032 92052 92042 91776 90983
1 92364 92113 92135 91877 91174
1.5 92663 92542 92384 92078 91355
2 92681 92646 92863 92216 91480
2.5 92977 92955 92905 92373 91573
5 93832 93925 93822 93280 91577
7.5 94459 93980 93974 93682 92175
10 94582 94579 94282 94284 92176
12.5 94838 94767 94547 94328 92282
15 94945 94875 94671 94469 92483
17.5 95083 95065 94783 94681 93084
20 95084 95271 94878 94684 93167
22.5 95175 95277 94884 94782 93381
25 95181 95284 95056 94784 93473
27.5 95279 95284 95071 94975 93482
30 95351 95375 95074 95079 93483
32.5 95381 95379 95180 95081 93572
35 95383 95380 95182 95154 93849
37.5 95474 95380 95184 95279 93883
40 95484 95382 95241 95281 94078
42.5 95484 95383 95281 95283 94082
45 95584 95384 95342 95381 94084
47.5 95584 95573 95369 95382 94164
50 95605 95583 95378 95382 94183
75 95655 95584 95584 95484 94484
100 95676 95584 95584 95882 94979
