Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 272212 271906 269111 271955 257912
1 278386 275276 276547 277636 271314
1.5 284396 289625 283002 286809 282763
2 289953 295317 289325 289302 291340
2.5 292056 301753 296990 296570 292551
5 312941 329375 324437 325047 320372
7.5 328814 340414 335530 335147 337168
10 341063 350364 346943 346355 344292
12.5 350169 356867 354189 355082 350193
15 356360 361374 358903 361186 355598
17.5 360008 364497 361842 366294 359974
20 363325 368283 364519 369398 364587
22.5 364654 368704 368418 371878 366445
25 368442 369984 371385 374754 366514
27.5 370405 372038 372197 374859 369147
30 371145 374547 372527 375853 371692
32.5 373119 374569 374768 376256 371738
35 373287 375251 375555 377781 373212
37.5 374044 376070 375824 378732 373847
40 375360 377241 375999 378886 374153
42.5 376631 378014 376731 379377 375115
45 377146 378574 378098 380080 376334
47.5 378240 379586 378544 380326 377246
50 378886 379738 378750 381059 378183
75 382057 383243 381229 383819 380751
100 384344 383539 383509 384551 383386
