Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 5240 5234 5420 5424 5413
1 5665 5676 5771 5977 5775
1.5 5766 5831 5791 5980 5941
2 5831 5839 5812 6031 6015
2.5 5898 5895 5819 6094 6040
5 5996 6002 5879 6141 6116
7.5 6019 6081 6026 6150 6142
10 6059 6106 6038 6152 6146
12.5 6066 6115 6086 6153 6150
15 6067 6125 6100 6175 6150
17.5 6100 6125 6106 6175 6153
20 6100 6144 6106 6175 6157
22.5 6106 6146 6109 6177 6167
25 6106 6167 6109 6177 6174
27.5 6106 6167 6125 6177 6174
30 6106 6174 6125 6177 6175
32.5 6106 6175 6125 6178 6175
35 6106 6175 6125 6178 6175
37.5 6106 6175 6128 6179 6177
40 6109 6175 6150 6179 6177
42.5 6109 6175 6175 6179 6177
45 6115 6175 6175 6185 6177
47.5 6175 6175 6175 6185 6177
50 6175 6175 6175 6185 6179
