Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 14366 13778 14622 14861 14909
1 14552 14708 14995 15603 15349
1.5 15269 15401 15299 15869 15682
2 15563 15405 15302 15932 15900
2.5 15701 15720 15310 16053 16097
5 15710 15837 15639 16338 16123
7.5 15792 15888 15651 16354 16209
10 15812 15888 15820 16391 16296
12.5 15843 15955 15846 16436 16312
15 15861 16006 15871 16437 16312
17.5 15875 16100 15888 16449 16334
20 15888 16105 15927 16450 16348
22.5 15894 16159 15932 16453 16409
25 15908 16165 15932 16453 16424
27.5 15932 16166 15932 16459 16429
30 15938 16178 15938 16459 16429
32.5 15943 16189 15938 16471 16440
35 15951 16201 15981 16471 16440
37.5 15953 16216 15981 16476 16459
40 15981 16238 15998 16476 16459
42.5 16042 16254 16000 16476 16459
45 16044 16254 16019 16483 16459
47.5 16088 16257 16031 16491 16459
50 16096 16294 16042 16491 16459
75 16126 16362 16088 16491 16459
100 16185 16388 16144 16491 16459
