Evaluations  NSGAII  MOEAD  SMSEMOA  GA  ES
0.5  58220  57045  61671  58734  57897
1  52066  54860  61210  50185  49004
1.5  51880  51357  60420  49175  48235
2  51708  49850  58920  47934  47357
2.5  49591  49655  58882  46192  46422
4  42361  48326  58390  45216  46410
6  41214  47954  58290  44216  46210
8  40150  47578  58069  43926  46023
10  39831  44166  57828  43868  45852
12  39454  43154  57623  43032  44537
14  39076  42704  57402  42265  43903
20  37860  42592  56224  41670  42523
