Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 359048 330552 315366 560178 583863
1 319782 315558 291496 487737 488842
1.5 313634 298326 278696 436674 442150
2 310028 292158 274130 423956 417307
2.5 295435 283842 268404 388402 387874
4 283548 277749 264300 344876 337158
6 268409 266485 254656 317476 316408
8 255287 255579 250413 287494 292018
10 249889 248395 247139 277002 273682
12 245274 241874 239475 260102 260682
14 241433 239451 237448 246027 248093
20 217597 227902 231028 231183 233375
