Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 204480 200009 184079 255730 266934
1 188779 184601 178082 222120 223312
1.5 182096 178104 177164 201985 207425
2 176379 173052 174218 185772 189547
2.5 170159 166807 173782 182859 184430
4 152247 160806 172822 157713 162346
6 150458 155741 169542 144578 149875
8 148264 149908 166698 133828 139352
10 138176 144306 166089 130414 138857
12 129854 140548 165874 128752 131548
14 125422 135193 164282 120889 121859
20 124842 130708 158759 119728 117111
