Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 191287 181518 177680 252442 254834
1 177875 175262 164627 209735 207027
1.5 164421 167411 162861 193002 189136
2 161356 162151 162434 179499 182043
2.5 157330 158671 155447 166770 162917
4 144319 141653 153761 150507 153390
6 138319 140653 151761 130507 140390
8 131513 139204 150655 128139 130587
10 127627 128790 149559 124668 125354
12 120627 125790 149200 120668 120354
14 116543 121025 149035 116557 115605
20 113060 120121 146829 107644 113572
